occ_code,occ_title,tot_emp,a_median,a_mean,a_pct10,a_pct90,year,wage_topcoded,emp_yoy_pct,wage_yoy_pct,is_outlier_yoy
15-1211,Computer Systems Analysts,589060,90920,96160,55180,147670.0,2019,False,,,False
15-1211,Computer Systems Analysts,574450,93730,99020,56510,152060.0,2020,False,-2.4802227277357147,3.090629124505062,False
15-1211,Computer Systems Analysts,505150,99270,102210,60680,158010.0,2021,False,-12.063713116894426,5.910594260108826,False
15-1211,Computer Systems Analysts,505210,102240,107530,61390,161980.0,2022,False,0.011877660100956255,2.9918404351767958,False
15-1211,Computer Systems Analysts,498810,103800,110800,63230,165700.0,2023,False,-1.2667999445775013,1.5258215962441257,False
15-1211,Computer Systems Analysts,497800,103790,111960,63160,166030.0,2024,False,-0.20248190693851198,-0.009633911368012171,False
15-1211,Computer Systems Analysts,519530,105850,114610,67340,167710.0,2025,False,4.365206910405783,1.9847769534637294,False
15-1221,Computer and Information Research Scientists,30780,122840,127460,69990,189780.0,2019,False,,,False
15-1221,Computer and Information Research Scientists,30220,126830,130890,72210,194430.0,2020,False,-1.8193632228719947,3.248127645718002,False
15-1221,Computer and Information Research Scientists,30840,131490,142650,74210,,2021,True,2.0516214427531487,3.674209571867859,False
15-1221,Computer and Information Research Scientists,33780,136620,155880,78190,232010.0,2022,False,9.5330739299611,3.901437371663241,False
15-1221,Computer and Information Research Scientists,35210,145080,157160,81450,233110.0,2023,False,4.23327412670218,6.192358366271411,False
15-1221,Computer and Information Research Scientists,38480,140910,152310,80670,232120.0,2024,False,9.287134336836122,-2.874276261373032,False
15-1221,Computer and Information Research Scientists,37200,140300,153930,82200,230630.0,2025,False,-3.3264033264033266,-0.43290043290042934,False
15-1245,Database Administrators and Architects,125460,93750,96110,51800,148060.0,2019,False,,,False
15-1245,Database Administrators and Architects,133630,98860,101090,54070,155660.0,2020,False,6.512035708592379,5.45066666666667,False
15-1252,Software Developers,1364180,120730,120990,64470,168570.0,2021,False,,,False
15-1252,Software Developers,1534790,127260,132930,71280,198100.0,2022,False,12.506414109574981,5.408763356249491,False
15-1252,Software Developers,1656880,132270,138110,77020,208620.0,2023,False,7.954834211846573,3.9368222536539266,False
15-1252,Software Developers,1654440,133080,144570,79850,211450.0,2024,False,-0.14726473854473898,0.6123837604899096,False
15-1252,Software Developers,1687890,135980,148100,82460,214670.0,2025,False,2.0218321607311296,2.17914036669673,False
15-1299,"Computer Occupations, All Other",393160,88550,92410,43780,146440.0,2019,False,,,False
15-1299,"Computer Occupations, All Other",362580,92870,96740,45760,152730.0,2020,False,-7.778003866110494,4.87859966120836,False
15-1299,"Computer Occupations, All Other",370190,95270,98180,45630,162410.0,2021,False,2.0988471509735707,2.5842575643372445,False
15-1299,"Computer Occupations, All Other",416320,98740,104660,46540,166780.0,2022,False,12.46116858910289,3.642279836254847,False
15-1299,"Computer Occupations, All Other",437170,104920,112430,49690,174300.0,2023,False,5.00816679477325,6.258861656876635,False
15-1299,"Computer Occupations, All Other",439380,108970,116700,52650,176800.0,2024,False,0.5055241668000976,3.860083873427378,False
15-1299,"Computer Occupations, All Other",435370,116580,122230,55940,188470.0,2025,False,-0.9126496426783204,6.9835734605854904,False
15-2051,Data Scientists,105980,100910,108660,59430,167040.0,2021,False,,,False
15-2051,Data Scientists,159630,103500,115240,58510,174790.0,2022,False,50.62275901113418,2.5666435437518675,True
15-2051,Data Scientists,192710,108020,119040,61070,184090.0,2023,False,20.72292175656205,4.367149758454114,True
15-2051,Data Scientists,233440,112590,124590,63650,194410.0,2024,False,21.135384775050593,4.2306980188853816,True
15-2051,Data Scientists,262440,120230,126800,67240,199130.0,2025,False,12.422892392049345,6.78568256505907,False
