seriesID,year,period,periodName,latest,value,footnotes
JTS510000000000000JOL,2015,M01,January,,111,[{}]
JTS510000000000000JOL,2015,M02,February,,130,[{}]
JTS510000000000000JOL,2015,M03,March,,110,[{}]
JTS510000000000000JOL,2015,M04,April,,109,[{}]
JTS510000000000000JOL,2015,M05,May,,109,[{}]
JTS510000000000000JOL,2015,M06,June,,113,[{}]
JTS510000000000000JOL,2015,M07,July,,125,[{}]
JTS510000000000000JOL,2015,M08,August,,116,[{}]
JTS510000000000000JOL,2015,M09,September,,116,[{}]
JTS510000000000000JOL,2015,M10,October,,112,[{}]
JTS510000000000000JOL,2015,M11,November,,70,[{}]
JTS510000000000000JOL,2015,M12,December,,111,[{}]
JTS510000000000000JOL,2016,M01,January,,111,[{}]
JTS510000000000000JOL,2016,M02,February,,94,[{}]
JTS510000000000000JOL,2016,M03,March,,89,[{}]
JTS510000000000000JOL,2016,M04,April,,84,[{}]
JTS510000000000000JOL,2016,M05,May,,114,[{}]
JTS510000000000000JOL,2016,M06,June,,90,[{}]
JTS510000000000000JOL,2016,M07,July,,80,[{}]
JTS510000000000000JOL,2016,M08,August,,79,[{}]
