date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100.0,total postings,Software Development
2020-02-02,US,99.84,total postings,Software Development
2020-02-03,US,99.73,total postings,Software Development
2020-02-04,US,99.55,total postings,Software Development
2020-02-05,US,99.46,total postings,Software Development
2020-02-06,US,99.46,total postings,Software Development
2020-02-07,US,99.44,total postings,Software Development
2020-02-08,US,99.51,total postings,Software Development
2020-02-09,US,99.54,total postings,Software Development
2020-02-10,US,99.61,total postings,Software Development
2020-02-11,US,99.65,total postings,Software Development
2020-02-12,US,99.66,total postings,Software Development
2020-02-13,US,99.62,total postings,Software Development
2020-02-14,US,99.63,total postings,Software Development
2020-02-15,US,99.6,total postings,Software Development
2020-02-16,US,99.7,total postings,Software Development
2020-02-17,US,99.71,total postings,Software Development
2020-02-18,US,99.69,total postings,Software Development
2020-02-19,US,99.68,total postings,Software Development
2020-02-20,US,99.74,total postings,Software Development
