occ_code,occ_title,tot_emp,a_median,a_mean,a_pct10,a_pct90,year,wage_topcoded,emp_yoy_pct,wage_yoy_pct,is_outlier_yoy
15-1211,Computer Systems Analysts,589060,90920,96160,55180,147670.0,2019,False,,,False
15-1211,Computer Systems Analysts,574450,93730,99020,56510,152060.0,2020,False,-2.4802227277357147,3.090629124505062,False
15-1211,Computer Systems Analysts,505150,99270,102210,60680,158010.0,2021,False,-12.063713116894426,5.910594260108826,False
15-1211,Computer Systems Analysts,505210,102240,107530,61390,161980.0,2022,False,0.0118776601009562,2.991840435176796,False
15-1211,Computer Systems Analysts,498810,103800,110800,63230,165700.0,2023,False,-1.2667999445775011,1.5258215962441255,False
15-1211,Computer Systems Analysts,497800,103790,111960,63160,166030.0,2024,False,-0.2024819069385119,-0.0096339113680121,False
15-1211,Computer Systems Analysts,519530,105850,114610,67340,167710.0,2025,False,4.365206910405783,1.9847769534637296,False
15-1221,Computer and Information Research Scientists,30780,122840,127460,69990,189780.0,2019,False,,,False
15-1221,Computer and Information Research Scientists,30220,126830,130890,72210,194430.0,2020,False,-1.8193632228719947,3.248127645718002,False
15-1221,Computer and Information Research Scientists,30840,131490,142650,74210,,2021,True,2.0516214427531487,3.674209571867859,False
15-1221,Computer and Information Research Scientists,33780,136620,155880,78190,232010.0,2022,False,9.5330739299611,3.901437371663241,False
15-1221,Computer and Information Research Scientists,35210,145080,157160,81450,233110.0,2023,False,4.23327412670218,6.192358366271411,False
15-1221,Computer and Information Research Scientists,38480,140910,152310,80670,232120.0,2024,False,9.287134336836122,-2.874276261373032,False
15-1221,Computer and Information Research Scientists,37200,140300,153930,82200,230630.0,2025,False,-3.3264033264033266,-0.4329004329004293,False
15-1245,Database Administrators and Architects,125460,93750,96110,51800,148060.0,2019,False,,,False
15-1245,Database Administrators and Architects,133630,98860,101090,54070,155660.0,2020,False,6.512035708592379,5.45066666666667,False
15-1252,Software Developers,1364180,120730,120990,64470,168570.0,2021,False,,,False
15-1252,Software Developers,1534790,127260,132930,71280,198100.0,2022,False,12.50641410957498,5.408763356249491,False
15-1252,Software Developers,1656880,132270,138110,77020,208620.0,2023,False,7.954834211846573,3.9368222536539266,False
15-1252,Software Developers,1654440,133080,144570,79850,211450.0,2024,False,-0.1472647385447389,0.6123837604899096,False
