source_file,area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,prim_state,pct_rpt
national_M2019_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,589060,1.0,,,,46.23,96160,0.4,26.53,33.65,43.71,56.31,71,55180,70000,90920,117120,147670,,,,
national_M2020_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,574450,1,,,,47.61,99020,0.4,27.17,34.63,45.06,58.12,73.11,56510,72030,93730,120890,152060,,,US,
national_M2021_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,505150,1.0,,,,49.14,102210,0.5,29.17,37.32,47.73,60.95,75.97,60680,77620,99270,126780,158010,,,US,
national_M2022_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,505210,1.4,,,,51.7,107530,0.5,29.52,38.03,49.15,62.69,77.88,61390,79100,102240,130400,161980,,,US,
national_M2023_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,498810,0.8,,,,53.27,110800,0.5,30.4,38.64,49.9,63.74,79.66,63230,80380,103800,132580,165700,,,US,
national_M2024_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,497800,0.9,,,,53.83,111960,0.5,30.36,38.89,49.9,63.64,79.82,63160,80900,103790,132360,166030,,,US,
national_M2025_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,519530,1.0,,,,55.1,114610,0.4,32.37,39.84,50.89,64.48,80.63,67340,82860,105850,134110,167710,,,US,
national_M2019_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,30780,3.6,,,,61.28,127460,1.4,33.65,44.85,59.06,74.05,91.24,69990,93290,122840,154020,189780,,,,
national_M2020_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,30220,3.3,,,,62.93,130890,1.4,34.72,45.84,60.97,75.83,93.48,72210,95340,126830,157720,194430,,,US,
national_M2021_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,30840,3.8,,,,68.58,142650,1.7,35.68,47.66,63.22,78.98,#,74210,99140,131490,164280,#,,,US,
national_M2022_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,33780,5.8,,,,74.94,155880,6.7,37.59,47.79,65.69,84.99,111.54,78190,99410,136620,176790,232010,,,US,
national_M2023_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,35210,3.7,,,,75.56,157160,1.0,39.16,52.88,69.75,89.02,112.07,81450,109990,145080,185160,233110,,,US,
national_M2024_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,38480,3.5,,,,73.23,152310,1.1,38.78,49.38,67.74,87.12,111.6,80670,102710,140910,181210,232120,,,US,
national_M2025_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,37200,2.6,,,,74,153930,1.0,39.52,49.79,67.45,90.72,110.88,82200,103570,140300,188700,230630,,,US,
national_M2019_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1245,Database Administrators and Architects,detailed,125460,1.1,,,,46.21,96110,0.4,24.91,32.86,45.07,58.12,71.18,51800,68340,93750,120880,148060,,,,
national_M2020_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1245,Database Administrators and Architects,detailed,133630,1.1,,,,48.6,101090,0.4,25.99,34.57,47.53,61,74.84,54070,71900,98860,126890,155660,,,US,
national_M2021_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1252,Software Developers,detailed,1364180,0.7,,,,58.17,120990,0.4,30.99,43.69,58.05,73.06,81.04,64470,90870,120730,151960,168570,,,US,
national_M2022_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1252,Software Developers,detailed,1534790,0.4,,,,63.91,132930,0.6,34.27,46.54,61.18,77.64,95.24,71280,96790,127260,161480,198100,,,US,
national_M2023_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1252,Software Developers,detailed,1656880,0.7,,,,66.4,138110,0.4,37.03,48.65,63.59,80.55,100.3,77020,101200,132270,167540,208620,,,US,
national_M2024_dl.xlsx,99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1252,Software Developers,detailed,1654440,0.7,,,,69.5,144570,0.6,38.39,49.55,63.98,81.25,101.66,79850,103050,133080,169000,211450,,,US,
